energy,liveness,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,key,duration_ms,loudness,valence,mode,type,uri
0.0116,0.0816,65.057,0.0567,0.991,0.445,3,0.0623,2,415800,-27.893,0.0331,1,audio_features,spotify:track:0S0YKiEdR9cT9pYgEaTevF
0.0639,0.466,61.577,0.0439,0.962,0.603,3,0.151,11,200360,-24.404,0.0797,0,audio_features,spotify:track:04eShjKTWijeJJqGnhxpYK
0.0386,0.104,75.081,0.0434,0.991,0.94,4,0.128,0,147573,-23.759,0.0359,1,audio_features,spotify:track:4maWRmE0OaHvF245FtrjDD
0.135,0.0477,94.404,0.0488,0.958,0.0349,4,0.25,9,364093,-18.615,0.179,1,audio_features,spotify:track:0xX7kREWmOGBWzYNcpZwRN
0.101,0.0776,85.851,0.0403,0.927,0.9,4,0.209,0,341693,-19.383,0.153,1,audio_features,spotify:track:7HSs4srn1qnZhh7WRWBVOk
0.106,0.105,105.651,0.039,0.807,0.782,3,0.165,8,592040,-21.742,0.0336,1,audio_features,spotify:track:2nVt0n0aSj3AwZjakMvDHX
0.408,0.165,150.454,0.0693,0.804,0.148,3,0.295,4,237413,-16.632,0.164,0,audio_features,spotify:track:54CAG8n70kKVbFV6l1zF4G
0.373,0.121,106.688,0.0524,0.889,0.193,4,0.398,1,538800,-14.065,0.61,1,audio_features,spotify:track:1YiBEdXvyWL9rupB3Cg4IQ
0.006,0.105,71.477,0.0384,0.899,3.24e-05,3,0.176,5,636000,-42.238,0.0383,1,audio_features,spotify:track:4wudbbceOZKjRlhTtbHvAs
0.341,0.359,105.513,0.0418,0.499,0.903,3,0.701,1,151507,-12.26,0.163,0,audio_features,spotify:track:5xbuJuQsTVheVZvX2AJVIv
0.0422,0.0896,87.855,0.0404,0.966,0.919,3,0.115,8,455467,-24.137,0.037,1,audio_features,spotify:track:4QfYHdV8hMoyS9qKUct98q
0.00626,0.0823,69.043,0.0478,0.994,0.901,4,0.299,9,378733,-30.923,0.0634,1,audio_features,spotify:track:1Oo7XEqkrwifJn17aA0ocF
0.0142,0.113,76.382,0.0388,0.993,0.921,1,0.341,2,357747,-28.293,0.0384,1,audio_features,spotify:track:3GecLjGMqzjmgkvy2v41Wf
0.163,0.093,158.366,0.0645,0.81,0.754,4,0.48,5,204147,-19.117,0.212,0,audio_features,spotify:track:64ZxBE1ZgK4C0lGljXzDcG
0.0363,0.141,69.754,0.0409,0.991,0.924,4,0.191,3,330293,-25.31,0.0372,1,audio_features,spotify:track:5Zf5prtvv7KRQ1J6kNn4C6
0.14,0.125,92.122,0.0489,0.906,0.759,4,0.322,4,425000,-20.747,0.285,1,audio_features,spotify:track:4dGkPPLnIdVgogqpyaAjbc
0.151,0.11,103.777,0.0603,0.955,0.793,4,0.436,11,153267,-20.745,0.359,0,audio_features,spotify:track:3VQ7hwiEfaHDl3AySgyaiR
0.128,0.0423,111.471,0.0519,0.978,0.271,4,0.465,9,268853,-17.628,0.428,0,audio_features,spotify:track:6cC6h5E351deEGFd7Kh9uy
0.0076,0.0864,62.668,0.0384,0.995,0.91,4,0.37,4,176518,-33.663,0.278,1,audio_features,spotify:track:3NbAsIxDL0fVgNuCLD152P
0.132,0.115,102.283,0.0333,0.946,0.779,3,0.144,10,207427,-19.115,0.0627,1,audio_features,spotify:track:2TZbQZXOuR8osP2AK8yYMN
0.11,0.359,83.43,0.0309,0.977,0.903,4,0.458,9,84267,-22.234,0.481,0,audio_features,spotify:track:4fDodwdZ1LBDL2I2WCnUMY
0.0291,0.106,121.131,0.0455,0.959,0.845,4,0.224,7,1215573,-26.167,0.0538,1,audio_features,spotify:track:2ceu417OdiSxzR3K7B1n2M
0.0241,0.0693,87.14,0.0485,0.947,0.847,3,0.101,11,208587,-30.172,0.0329,0,audio_features,spotify:track:1MiWGSGDC5mGoP3MNclZ7s
0.227,0.063,103.618,0.0343,0.871,0.891,4,0.223,0,469053,-17.695,0.127,1,audio_features,spotify:track:0XSRBlP49MgzBCYtGK2NYE
0.235,0.396,109.16,0.0398,0.894,0.675,1,0.352,2,626240,-16.235,0.329,1,audio_features,spotify:track:72jIJDADnBLJKXV2yxv5N0
0.00896,0.0815,69.44,0.0394,0.994,0.91,3,0.296,7,257000,-31.948,0.0673,0,audio_features,spotify:track:43bSKCMWHIuBsUVmQcDX1J
0.113,0.107,98.575,0.0415,0.859,0.838,1,0.142,2,255693,-25.362,0.0697,0,audio_features,spotify:track:42gZM6AQ9BDMaTyTmMDVlN
0.117,0.15,77.009,0.0489,0.94,0.861,4,0.218,0,1050893,-18.585,0.0599,1,audio_features,spotify:track:0w4LgJ5G1Xz5jLS3HX8oyq
0.173,0.103,132.187,0.0329,0.991,0.909,4,0.377,9,500500,-21.377,0.558,1,audio_features,spotify:track:5i7bLnNE0R3m1MNUY7UsqT
0.0694,0.109,169.789,0.0497,0.969,0.644,4,0.116,0,195333,-23.624,0.0377,1,audio_features,spotify:track:6VDHdry8ytOL2WWbePDxSD
0.0839,0.118,85.556,0.0406,0.971,0.822,4,0.193,8,580253,-22.849,0.0569,1,audio_features,spotify:track:6kg7bfwsTKzRqnBGGv4VqR
0.122,0.126,66.325,0.0497,0.925,0.66,4,0.241,7,209373,-22.411,0.187,1,audio_features,spotify:track:7uf3aFC1msj0t5cYImgOWy
0.00399,0.0683,74.381,0.242,0.996,0.946,3,0.59,7,219760,-36.497,0.182,1,audio_features,spotify:track:7kTVe6XhIveidvkt8nb7jK
0.0194,0.0939,101.708,0.0434,0.938,0.859,3,0.164,3,233400,-34.126,0.0581,1,audio_features,spotify:track:0oIQl9tFpCiKBRavEIIGzo
0.00518,0.0788,135.286,0.067,0.995,0.932,5,0.436,7,224133,-36.593,0.275,1,audio_features,spotify:track:1aTpzY2ggWHhPi8p2f56u1
