energy,liveness,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,key,duration_ms,loudness,valence,mode,type,uri
0.436,0.0706,79.986,0.643,0.245,0.0,4,0.601,9,198452,-6.689,0.758,1,audio_features,spotify:track:60apCFfvNle25B6eCPcYQB
0.865,0.0739,149.918,0.0776,0.0381,0.0,4,0.825,7,119423,-3.978,0.848,1,audio_features,spotify:track:7fsK1ITZs0jwuUi62MpBR8
0.64,0.131,160.025,0.231,0.553,0.000214,4,0.829,6,135053,-5.537,0.848,0,audio_features,spotify:track:5rwdmpN5eMWIIwK4R96vv1
0.911,0.296,150.132,0.245,0.393,1.27e-05,4,0.724,11,140000,-2.01,0.947,0,audio_features,spotify:track:0h1mVA8gOPR71lxSeY67uT
0.813,0.0734,135.026,0.166,0.741,4.11e-05,4,0.912,1,241778,-3.961,0.873,1,audio_features,spotify:track:49N07rRWNp03L2HPCogaF0
0.361,0.0978,89.803,0.404,0.0331,0.0,4,0.65,2,177094,-7.153,0.844,1,audio_features,spotify:track:0IQCOAw9ZAI6WnXIrl481F
0.619,0.0781,170.004,0.124,0.799,0.0,4,0.794,3,194823,-5.779,0.765,0,audio_features,spotify:track:27bx77Puw80jaxCSucgKrS
0.702,0.0762,150.077,0.271,0.0265,2.48e-05,4,0.828,6,129600,-7.996,0.846,0,audio_features,spotify:track:7wAQTVTggrFQ4bceY6e3GE
0.583,0.0685,133.054,0.0306,0.194,0.000256,4,0.811,6,164258,-0.969,0.673,0,audio_features,spotify:track:6Diq6oBnDVzsrNcRllXRbM
0.733,0.0855,155.061,0.0985,0.158,0.0,4,0.857,5,136258,-3.528,0.855,0,audio_features,spotify:track:14WsidKNckjSyoa18e0xnp
0.553,0.115,119.897,0.212,0.685,0.0,4,0.869,5,236000,-3.5,0.457,1,audio_features,spotify:track:37hCsK2djczyRGWMjqzbxD
