energy,liveness,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,key,duration_ms,loudness,valence,mode,type,uri
0.631,0.209,126.576,0.0986,0.696,0.0242,3,0.482,5,214558,-6.917,0.0743,1,audio_features,spotify:track:2hfoyc7ve6xM4ZEiNIiU1B
0.559,0.399,129.989,0.0776,0.128,0.0,1,0.778,6,185093,-7.109,0.678,0,audio_features,spotify:track:7aiClxsDWFRQ0Kzk5KI5ku
0.955,0.202,125.989,0.222,0.127,0.0,4,0.707,10,134240,-4.593,0.575,0,audio_features,spotify:track:78qd8dvwea0Gosb6Fe6j3k
0.787,0.129,126.77,0.367,0.189,0.0,4,0.769,11,159715,-3.909,0.836,1,audio_features,spotify:track:6Ozh9Ok6h4Oi1wUSLtBseN
0.566,0.34,83.903,0.2,0.349,0.0,4,0.511,6,239836,-7.23,0.218,0,audio_features,spotify:track:285pBltuF7vW8TeWk8hdRR
0.729,0.349,113.012,0.0886,0.167,1.39e-06,4,0.73,4,221820,-3.434,0.467,0,audio_features,spotify:track:017PF4Q3l4DBUiWoXk4OWT
0.599,0.154,130.007,0.0388,0.0554,0.0,4,0.712,7,212354,-5.368,0.503,0,audio_features,spotify:track:2ajzBr7vwHTEBeqDzcsNRC
0.631,0.132,180.051,0.343,0.0687,0.0,4,0.474,5,189323,-5.884,0.425,0,audio_features,spotify:track:6Gg1gjgKi2AK4e0qzsR7sd
0.7,0.349,120.009,0.0906,0.144,0.0,4,0.929,0,132024,-5.595,0.802,0,audio_features,spotify:track:4xqIYGwwZTEem9U8A42SPF
0.225,0.106,120.006,0.0994,0.902,0.657,4,0.704,6,245426,-14.454,0.243,0,audio_features,spotify:track:3ZCTVFBt2Brf31RLEnCkWJ
0.473,0.109,75.801,0.129,0.866,0.0,4,0.464,1,208687,-10.086,0.604,1,audio_features,spotify:track:2kJwzbxV2ppxnQoYw4GLBZ
0.583,0.144,122.012,0.0432,0.32,0.00015,4,0.754,4,220051,-7.34,0.77,0,audio_features,spotify:track:6xZ4Q2k2ompmDppyeESIY8
