energy,liveness,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,key,duration_ms,loudness,valence,mode,type,uri
0.477,0.0579,62.507,0.0687,0.302,2.97e-06,4,0.733,2,216133,-6.737,0.545,0,audio_features,spotify:track:3mRLHiSHYtC8Hk7bzZdUs1
0.849,0.0878,150.036,0.0536,0.173,0.0,4,0.757,5,228207,-3.424,0.826,0,audio_features,spotify:track:6rrTr2HEAzlpC4KWZxF3S1
0.833,0.15,89.981,0.0487,0.0116,0.000504,4,0.49,6,187347,-5.899,0.39,1,audio_features,spotify:track:5FQXMRDSTkn9fowDJ3kZo8
0.741,0.289,119.896,0.0287,0.101,1.41e-05,4,0.72,10,198053,-6.529,0.357,0,audio_features,spotify:track:6WkJ2OK163XXS2oARUC9JM
0.52,0.222,102.998,0.0656,0.45,1.97e-06,4,0.741,8,171030,-7.513,0.347,1,audio_features,spotify:track:6Qs4SXO9dwPj5GKvVOv8Ki
0.648,0.134,143.955,0.0449,0.0956,0.0,4,0.708,6,201707,-5.626,0.338,1,audio_features,spotify:track:45Egmo7icyopuzJN0oMEdk
0.571,0.1,78.942,0.0579,0.0207,9.71e-05,4,0.509,8,290232,-6.997,0.233,1,audio_features,spotify:track:1MyVadO3ei1DGHVbDowQGv
0.597,0.172,124.941,0.0343,0.0252,3.32e-06,4,0.398,10,232560,-4.56,0.289,0,audio_features,spotify:track:6YKX7WrNlApFaW3n3XppAF
0.906,0.331,91.091,0.258,0.0989,0.0,4,0.657,11,174066,-3.182,0.557,0,audio_features,spotify:track:7yHyGrwWRUdDVcZIC4HBdA
0.984,0.0632,150.086,0.286,0.211,0.0,4,0.677,11,134107,-3.539,0.906,0,audio_features,spotify:track:7LPR6AdkOQR9WpEixCGNCk
0.78,0.189,102.057,0.0574,0.309,5.45e-05,4,0.797,1,137045,-6.044,0.823,0,audio_features,spotify:track:0aZfIiaO3b2HTNxZ3sv1cg
0.747,0.218,144.694,0.0492,0.0024,1.27e-05,4,0.355,2,258750,-6.435,0.191,0,audio_features,spotify:track:4hjJNJvz1hshnFNRvh72tV
0.793,0.575,127.96,0.0591,0.0488,0.0,4,0.704,8,199680,-2.266,0.412,1,audio_features,spotify:track:6T27IN7Ai94BeDv6PPCmoC
0.944,0.308,128.968,0.111,0.000891,0.0287,4,0.528,11,444547,-5.027,0.222,0,audio_features,spotify:track:2orzFvcBf6BFeabN0lTO59
0.443,0.124,180.08,0.0754,0.00923,1.88e-06,3,0.576,4,204067,-7.477,0.452,0,audio_features,spotify:track:1EXotCuzdXR34W1MoP6Um7
0.964,0.401,173.058,0.206,0.000416,0.000231,4,0.406,6,274403,-4.076,0.406,1,audio_features,spotify:track:1kq5dLuzkRLgemasnkUg9G
0.732,0.028,145.034,0.0694,0.0154,2.75e-05,4,0.713,2,190499,-5.568,0.761,1,audio_features,spotify:track:3dX8uUGv8Tc0u2tno0nXqM
0.692,0.0769,180.024,0.0506,0.0508,0.00997,4,0.528,7,210667,-5.51,0.465,1,audio_features,spotify:track:3zshP9h5monlNZLzdxFcpW
0.853,0.12,110.049,0.0715,0.0525,0.0,4,0.781,1,250189,-3.68,0.624,0,audio_features,spotify:track:48RrDBpOSSl1aLVCalGl5C
0.822,0.0992,119.964,0.0299,0.0973,0.00186,4,0.591,2,196016,-7.093,0.287,1,audio_features,spotify:track:14mI3oyk0qsaDCXI4uDo2E
0.829,0.0426,174.028,0.134,0.00864,0.0,4,0.583,1,275987,-4.603,0.575,1,audio_features,spotify:track:49FYlytm3dAAraYgpoJZux
0.832,0.114,122.021,0.0403,0.00587,0.000789,4,0.825,5,220627,-5.853,0.713,0,audio_features,spotify:track:2aFds7DGQgnOc06aA2UXfc
0.716,0.069,125.91,0.0434,0.13,1.09e-05,4,0.789,11,235493,-4.241,0.609,0,audio_features,spotify:track:0AH6WMe3OlAlUb5miXt2FQ
0.847,0.221,127.963,0.0916,0.00201,0.0204,4,0.719,0,242680,-6.34,0.444,0,audio_features,spotify:track:5WQQIDU3HRaMyPkob8mpFb
0.794,0.543,135.959,0.064,0.0193,0.0,4,0.749,0,269554,-5.063,0.46,1,audio_features,spotify:track:2SL6oP2YAEQbqsrkOzRGO4
0.907,0.483,96.006,0.0941,0.142,2.05e-06,4,0.701,5,197277,-3.157,0.679,0,audio_features,spotify:track:29O8QExmFM2nr7KpcEiceM
0.274,0.112,96.158,0.0624,0.648,0.000114,4,0.647,0,180437,-8.15,0.161,0,audio_features,spotify:track:1FiThvXpukBsuiBHVx1tOf
0.73,0.0197,150.134,0.0809,0.383,0.000374,4,0.826,1,157600,-3.032,0.605,1,audio_features,spotify:track:2bPtwnrpFNEe8N7Q85kLHw
0.813,0.099,152.001,0.0475,0.0023,0.00056,4,0.451,9,252170,-5.838,0.271,1,audio_features,spotify:track:1UhzEMXJx2OjdvzBdLXfut
0.723,0.418,171.936,0.0376,0.0508,2.19e-05,4,0.585,10,291628,-6.444,0.579,1,audio_features,spotify:track:64kZ8bFs90L0Dvi1cfiuxe
0.811,0.182,175.014,0.0339,0.000483,0.0213,4,0.337,11,211644,-4.925,0.227,1,audio_features,spotify:track:6LKJwN8aF3uYod3JUPXjQR
0.688,0.0616,174.966,0.0425,0.0307,0.00743,4,0.553,11,226925,-3.984,0.0381,0,audio_features,spotify:track:2HJQDba3IGpXZCVaPUJRuK
0.851,0.0784,171.411,0.197,0.0748,0.0,4,0.551,1,297893,-3.277,0.1,1,audio_features,spotify:track:6yr8GiTHWvFfi4o6Q5ebdT
0.633,0.0831,96.027,0.0483,0.0231,0.0,4,0.686,9,204285,-6.073,0.8,0,audio_features,spotify:track:4DBkrkVzx7jxxIjxI6FYvz
0.784,0.0678,113.172,0.0397,0.000684,0.0,4,0.607,7,231173,-4.41,0.442,1,audio_features,spotify:track:5Xm9m4FR8Uw9pDR6ph2K0c
0.934,0.0978,172.224,0.179,0.00325,0.000398,4,0.247,6,313320,-3.83,0.151,0,audio_features,spotify:track:66wcihY2Y8ZSqux6EivMWa
